Contact Name,ID,ID Type,TS Override
Belgium S YSF Br,20602,Group,2
Belgian CW,20610,Group,2
Gembloux,20681,Group,2
Wires-X-France,20800,Group,2
Det Allier,20803,Group,2
Det Aube,20810,Group,2
Det Aveyron,20812,Group,2
Det Bouches-du-,20813,Group,2
Det Calvados,20814,Group,2
Det Cher,20818,Group,2
Det Corse,20820,Group,2
Det Doubs,20825,Group,2
Det Eure-et-Loi,20828,Group,2
Det Gard,20830,Group,2
Det Ille et Vil,20835,Group,2
Det Indre-et-Lo,20837,Group,2
Det Landes,20840,Group,2
Det Haute-Loire,20843,Group,2
Det Loire-Atl,20844,Group,2
Det Loiret,20845,Group,2
Det Mayenne,20853,Group,2
Det Moselle,20857,Group,2
Det Nord,20859,Group,2
Det Pyrees-Or,20866,Group,2
Det Bas-rhin,20867,Group,2
Lyon Rhone-Alpes,20869,Group,2
Deartement Sart,20872,Group,2
Det Seine-et-Ma,20877,Group,2
Det Tarn,20881,Group,2
Det Var,20883,Group,2
Det Haute-Vienn,20887,Group,2
Det Val-De-Marn,20894,Group,2
Det Val-d'Oise,20895,Group,2
Provincial Araba,21401,Group,2
Provincial Albac,21402,Group,2
Provincial Alica,21403,Group,2
Provincial Almer,21404,Group,2
Provincial Avila,21405,Group,2
Provincial Badaj,21406,Group,2
Provincial Illes,21407,Group,2
Provincial Barce,21408,Group,2
Provincial Burgo,21409,Group,2
Provincial Cacre,21410,Group,2
Provincial Cadiz,21411,Group,2
Provincial Caste,21412,Group,2
Provincial Ciuda,21413,Group,2
Provincial Codo,21414,Group,2
Provincial Coruñ,21415,Group,2
Provincial Cuenc,21416,Group,2
Provincial Giron,21417,Group,2
Provincial Grana,21418,Group,2
Provincial Guada,21419,Group,2
Provincial Gipuz,21420,Group,2
Provincial Huelv,21421,Group,2
Provincial Huesc,21422,Group,2
Provincial Jaen,21423,Group,2
Provincial Leon,21424,Group,2
Provincial Lleid,21425,Group,2
Provincial La Ri,21426,Group,2
Provincial Lugo,21427,Group,2
Provincial Madri,21428,Group,2
Provincial Magla,21429,Group,2
Provincial Murci,21430,Group,2
Provincial Navar,21431,Group,2
Provincial Ouren,21432,Group,2
Provincial Astur,21433,Group,2
Provincial Palen,21434,Group,2
Provincial Ponte,21436,Group,2
Provincial Salam,21437,Group,2
Provincial Tener,21438,Group,2
Provincial Canta,21439,Group,2
Provincial Segov,21440,Group,2
Provincial Sevil,21441,Group,2
Provincial Soria,21442,Group,2
Provincial Tarra,21443,Group,2
Provincial Terue,21444,Group,2
Provincial Toled,21445,Group,2
Provincial Valen,21446,Group,2
Provincial Valla,21447,Group,2
Provincial Bizka,21448,Group,2
Provincial Zamor,21449,Group,2
Provincial Zarag,21450,Group,2
Provincial Ceuta,21451,Group,2
Provincial Melil,21452,Group,2
BM-CAT,21460,Group,2
TG de uso libre,21461,Group,2
Tenico,21462,Group,2
TG de uso libre,21463,Group,2
TG de uso libre,21464,Group,2
TG de uso libre,21466,Group,2
TG de uso libre,21467,Group,2
Multimodo,21468,Group,2
Los joenes,21469,Group,2
TG de uso libre,21470,Group,2
TG de uso libre,21471,Group,2
Tetra Gateway,21482,Group,2
Republic of Srps,21810,Group,2
Prijedor Region,21811,Group,2
Banjaluka Region,21812,Group,2
ZRHB Group,21877,Group,2
Lazio,22201,Group,2
